ID_PERSONNEL,ID_MATERIEL,ID_SITE,ID_DATE_ACHAT
KeyPers_Berlin_1232246,BERLIN_MATERIEL_INFO_202610020,Berlin,2026-10-02
KeyPers_Berlin_1230037,BERLIN_MATERIEL_INFO_202610021,Berlin,2026-10-02
KeyPers_London_1233989,LONDON_MATERIEL_INFO_202610020,London,2026-10-02
KeyPers_London_1231550,LONDON_MATERIEL_INFO_202610021,London,2026-10-02
KeyPers_LA_1230204,LA_MATERIEL_INFO_202610020,LA,2026-10-02
KeyPers_LA_1230309,LA_MATERIEL_INFO_202610021,LA,2026-10-02
KeyPers_LA_1233012,LA_MATERIEL_INFO_202610022,LA,2026-10-02
KeyPers_LA_1231333,LA_MATERIEL_INFO_202610023,LA,2026-10-02
KeyPers_LA_1230647,LA_MATERIEL_INFO_202610024,LA,2026-10-02
KeyPers_LA_1231941,LA_MATERIEL_INFO_202610025,LA,2026-10-02
KeyPers_LA_1232503,LA_MATERIEL_INFO_202610026,LA,2026-10-02
KeyPers_LA_1230902,LA_MATERIEL_INFO_202610027,LA,2026-10-02
KeyPers_LA_1231579,LA_MATERIEL_INFO_202610028,LA,2026-10-02
KeyPers_LA_1230738,LA_MATERIEL_INFO_202610029,LA,2026-10-02
KeyPers_LA_1231331,LA_MATERIEL_INFO_2026100210,LA,2026-10-02
KeyPers_LA_1232867,LA_MATERIEL_INFO_2026100211,LA,2026-10-02
KeyPers_NewYork_1230164,NewYork_MATERIEL_INFO_202610020,NewYork,2026-10-02
KeyPers_NewYork_1232431,NewYork_MATERIEL_INFO_202610021,NewYork,2026-10-02
KeyPers_NewYork_1232791,NewYork_MATERIEL_INFO_202610022,NewYork,2026-10-02
KeyPers_NewYork_1231317,NewYork_MATERIEL_INFO_202610023,NewYork,2026-10-02
KeyPers_Paris_1233797,Paris_MATERIEL_INFO_202610020,Paris,2026-10-02
KeyPers_Paris_1230602,Paris_MATERIEL_INFO_202610021,Paris,2026-10-02
KeyPers_Paris_1234994,Paris_MATERIEL_INFO_202610022,Paris,2026-10-02
KeyPers_Paris_1233288,Paris_MATERIEL_INFO_202610023,Paris,2026-10-02
KeyPers_Paris_1234908,Paris_MATERIEL_INFO_202610024,Paris,2026-10-02
KeyPers_Paris_1234116,Paris_MATERIEL_INFO_202610025,Paris,2026-10-02
KeyPers_Paris_1234322,Paris_MATERIEL_INFO_202610026,Paris,2026-10-02
KeyPers_Paris_1232469,Paris_MATERIEL_INFO_202610027,Paris,2026-10-02
KeyPers_Paris_1233252,Paris_MATERIEL_INFO_202610028,Paris,2026-10-02
KeyPers_Paris_1234792,Paris_MATERIEL_INFO_202610029,Paris,2026-10-02
KeyPers_Paris_1230896,Paris_MATERIEL_INFO_2026100210,Paris,2026-10-02
KeyPers_Paris_1231277,Paris_MATERIEL_INFO_2026100211,Paris,2026-10-02
KeyPers_Paris_1234294,Paris_MATERIEL_INFO_2026100212,Paris,2026-10-02
KeyPers_Paris_1230039,Paris_MATERIEL_INFO_2026100213,Paris,2026-10-02
KeyPers_Shanghai_1230753,Shanghai_MATERIEL_INFO_202610020,Shanghai,2026-10-02
KeyPers_Shanghai_1230735,Shanghai_MATERIEL_INFO_202610021,Shanghai,2026-10-02
KeyPers_Shanghai_1230540,Shanghai_MATERIEL_INFO_202610022,Shanghai,2026-10-02
KeyPers_Shanghai_1230936,Shanghai_MATERIEL_INFO_202610023,Shanghai,2026-10-02
KeyPers_Shanghai_1230878,Shanghai_MATERIEL_INFO_202610024,Shanghai,2026-10-02
KeyPers_Shanghai_1230764,Shanghai_MATERIEL_INFO_202610025,Shanghai,2026-10-02
KeyPers_Shanghai_1230414,Shanghai_MATERIEL_INFO_202610026,Shanghai,2026-10-02
